rank,score,family,priority,ichome_title,jan,price,url,reason
A,75,人気ボディ,B,◆SONY ミラーレス一眼 α7 III ボディ ILCE-7M3,4548736079625,165000,https://www.1-chome.com/wineDetail/658/658,JANあり、高単価、特に高単価、人気ボディ系
A,75,人気ボディ,B,Canon EOS R8 EOS R8 ボディ,4549292204834,161000,https://www.1-chome.com/wineDetail/5011/5011,JANあり、高単価、特に高単価、人気ボディ系
A,75,人気ボディ,B,OM SYSTEM OM-3 ボディ,4545350056452,158500,https://www.1-chome.com/wineDetail/7220/7220,JANあり、高単価、特に高単価、人気ボディ系
A,75,人気ボディ,B,◆デジタル一眼カメラ EOS R7 ボディ,4549292185430,156000,https://www.1-chome.com/wineDetail/3879/3879,JANあり、高単価、特に高単価、人気ボディ系
A,75,人気ボディ,B,◆デジタル一眼カメラ α7C ILCE-7C ボディ [シルバー],4548736121621,155000,https://www.1-chome.com/wineDetail/2622/2622,JANあり、高単価、特に高単価、人気ボディ系
A,75,人気ボディ,B,★デジタル一眼カメラ α7C ILCE-7C ボディ [ブラック],4548736121614,150000,https://www.1-chome.com/wineDetail/2621/2621,JANあり、高単価、特に高単価、人気ボディ系
A,65,高級コンデジ,A,FUJIFILM GFX100S II ボディ,4547410522105,620000,https://www.1-chome.com/wineDetail/7361/7361,JANあり、高単価、特に高単価、高級コンデジ系、超高額で初回追加向きではない
A,65,高級コンデジ,A,FUJIFILM GFX100RF [シルバー],4547410556568,520000,https://www.1-chome.com/wineDetail/7015/7015,JANあり、高単価、特に高単価、高級コンデジ系、超高額で初回追加向きではない
A,65,高級コンデジ,A,FUJIFILM GFX100RF [ブラック],4547410556551,520000,https://www.1-chome.com/wineDetail/7014/7014,JANあり、高単価、特に高単価、高級コンデジ系、超高額で初回追加向きではない
A,65,主要レンズ,B,CANON RF24-105mm F2.8 L IS USM Z,4549292223156,401000,https://www.1-chome.com/wineDetail/6098/6098,JANあり、高単価、特に高単価、既存カメラ群に近いレンズ系
A,65,主要レンズ,B,Canon RF70-200mm F2.8 L IS USM Z ホワイト,4549292240597,372500,https://www.1-chome.com/wineDetail/7315/7315,JANあり、高単価、特に高単価、既存カメラ群に近いレンズ系
A,65,主要レンズ,B,SONY FE 28-70mm F2 GM SEL2870GM,4548736165830,369300,https://www.1-chome.com/wineDetail/6856/6856,JANあり、高単価、特に高単価、既存カメラ群に近いレンズ系
A,65,主要レンズ,B,Canon RF70-200mm F2.8 L IS USM Z ブラック,4549292240603,352500,https://www.1-chome.com/wineDetail/7314/7314,JANあり、高単価、特に高単価、既存カメラ群に近いレンズ系
A,65,主要レンズ,B,◆RF70-200mm F2.8 L IS USM,4549292156263,320000,https://www.1-chome.com/wineDetail/1241/1241,JANあり、高単価、特に高単価、既存カメラ群に近いレンズ系
