product_name,msrp,effective_date,source_url,matched_title,price_type
Joy-Con マリパ4人セット,12999,2000-01-01,https://www.amazon.co.jp/%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3-Joy-Con%E3%82%BB%E3%83%83%E3%83%88-%E3%83%91%E3%82%B9%E3%83%86%E3%83%AB%E3%83%91%E3%83%BC%E3%83%97%E3%83%AB-%E3%83%91%E3%82%B9%E3%83%86%E3%83%AB%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3-Switch/dp/B0CLDGC2D3,,
Joy-Con ネオンレッド/ネオンブルー,8778,2000-01-01,manual,手動補正,
Joy-Con ネオングリーン/ネオンピンク,8778,2000-01-01,manual,手動補正,
Joy-Con ネオンブルー/ネオンイエロー,8778,2000-01-01,manual,手動補正,
Joy-Con ネオンパープル/ネオンオレンジ,8778,2000-01-01,manual,手動補正,
Joy-Con パステルパープル/パステルグリーン,8778,2000-01-01,manual,手動補正,
Joy-Con パステルピンク/パステルイエロー,7999,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E4%BB%BB%E5%A4%A9%E5%A0%82%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91Joy-Con-L-%E3%83%91%E3%82%B9%E3%83%86%E3%83%AB%E3%83%94%E3%83%B3%E3%82%AF-R-%E3%83%91%E3%82%B9%E3%83%86%E3%83%AB%E3%82%A4%E3%82%A8%E3%83%AD%E3%83%BC/dp/B0C6WYW3F7,,
Joy-Con パステルピンク,4378,2000-01-01,manual,手動補正,
Joy-Con グレー/グレー,8778,2000-01-01,manual,手動補正,
Joy-Con ネオンイエロー,4378,2000-01-01,manual,手動補正,
Joy-Con レッド,4378,2000-01-01,manual,手動補正,
PS5 Split Fiction,9700,2000-01-01,https://www.amazon.co.jp/Electronic-Arts-4938833024749-Fiction-%E3%82%B9%E3%83%97%E3%83%AA%E3%83%83%E3%83%88%E3%83%95%E3%82%A3%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3/dp/B0DQ58S3LC,,
PS5 It Takes Two,9720,2000-01-01,https://www.amazon.co.jp/It-Takes-Two-PS4-%E8%BC%B8%E5%85%A5%E7%89%88/dp/B0913DY257,,
PS5 プラグマタ,11980,2000-01-01,https://www.amazon.co.jp/%E3%83%8E%E3%83%BC%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%E5%93%81-%E3%80%90PS5%E3%80%91%E3%83%97%E3%83%A9%E3%82%B0%E3%83%9E%E3%82%BF/dp/B0GTMVK1L6,,
Pokemon LEGENDS Z-A Switch 2,6790,2000-01-01,https://www.amazon.co.jp/Pok%C3%A9mon-LEGENDS-Nintendo-Switch-Switch2/dp/B0FGP83W6B,,
Pokemon LEGENDS Z-A Switch,7128,2000-01-01,https://www.amazon.co.jp/Pok%C3%A9mon-LEGENDS-%EF%BC%88%E3%83%9D%E3%82%B1%E3%83%A2%E3%83%B3-%E3%82%BC%E3%83%83%E3%83%88%E3%82%A8%E3%83%BC%EF%BC%89-Switch/dp/B0FGQJ45HW,,
ゼルダ ティアーズ オブ ザ キングダム,7200,2000-01-01,https://www.amazon.co.jp/%E3%82%BC%E3%83%AB%E3%83%80%E3%81%AE%E4%BC%9D%E8%AA%AC-%E3%83%86%E3%82%A3%E3%82%A2%E3%83%BC%E3%82%BA-%E3%82%AA%E3%83%96-%E3%82%B6-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%80%E3%83%A0-Switch/dp/B0BV94KXFR,,
リングフィット アドベンチャー,9720,2000-01-01,https://www.amazon.co.jp/%E4%BB%BB%E5%A4%A9%E5%A0%82-%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A3%E3%83%83%E3%83%88-%E3%82%A2%E3%83%89%E3%83%99%E3%83%B3%E3%83%81%E3%83%A3%E3%83%BC-Switch/dp/B07XV8VSZT,,
マリオパーティ ジャンボリー,7128,2000-01-01,https://www.amazon.co.jp/%E4%BB%BB%E5%A4%A9%E5%A0%82-HAC-P-A7HLA-%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC-%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3-%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%9C%E3%83%AA%E3%83%BC/dp/B0D7GQRT8R,,
ゼノブレイドクロス Switch 2,7073,2000-01-01,https://www.amazon.co.jp/%E3%82%BC%E3%83%8E%E3%83%96%E3%83%AC%E3%82%A4%E3%83%89%E3%82%AF%E3%83%AD%E3%82%B9-%E3%83%87%E3%82%A3%E3%83%95%E3%82%A3%E3%83%8B%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%87%E3%82%A3%E3%82%B7%E3%83%A7%E3%83%B3-Nintendo-Switch-Switch2/dp/B0GP9C1FVF,,
トモダチコレクション Switch 2,7128,2000-01-01,https://www.amazon.co.jp/%E4%BB%BB%E5%A4%A9%E5%A0%82-HAC-P-BLFGA-%E3%83%88%E3%83%A2%E3%83%80%E3%83%81%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3-%E3%82%8F%E3%81%8F%E3%82%8F%E3%81%8F%E7%94%9F%E6%B4%BB-Switch/dp/B0GKMJSYB1,,
